ID,UniqueId,Nickname,Verified,Title,Description,IsCommerce,Stats,HashtagName,HeartCount,VideoCount,DiggCount,ShareCount,CommentCount,PlayCount,CollectCount
7099895211907763498,,,,,5/19. Good try but we all caught It #amberturd #amber #justiceforjohnnydepp #depp #deppheard #johnnydepp,,[object Object],,,,,,,,
7263512992854150432,,,,,the woman says a sentence that I would never say👀 #johnnydepp #johnny #justiceforjohnnydepp #istandwithjohnnydepp #depp #deppheard #deppheads #johnnydepptiktok #johnnydeppedit #johnnydepplove #johnnydeppedits #trending #fy #fyp #deancorso #theninthgate ,,[object Object],,,,,,,,
7257577761731087642,,,,,I HAVE FAINTED (fake body TikTok) 👀 #johnnydepp #johnny #justiceforjohnnydepp #istandwithjohnnydepp #depp #deppheard #deppheads #johnnydepptiktok #johnnydeppedit #johnnydeppedits #johnnydepplove #fy #fyp #trending ,,[object Object],,,,,,,,
7094505212097989890,,,,,the dogs made it out alive! #fyp #australia #johnnydepp #amberheard #deppheard #depptrial #MacPack,,[object Object],,,,,,,,
7234734209435258114,,,,,"After bruising legal battles with ex-wife #AmberHeard, #JohnnyDepp is stepping out again, and earning rave reviews for his first big film in three years. The divisive actor appeared at #Cannes film festival, receiving seven-minute standing ovation new film, Jeanne du Barry, a period drama in which he plays the French king Louis XV. #News #Celebtok #DeppHeard ",,[object Object],,,,,,,,
7101875433808923946,,,,,15 minutes of fame? #attorneylife #legalanalysis #johnnydepp #deppheard #johnnydepptrial #fifteenminutesoffame,,[object Object],,,,,,,,
7266479232618941729,,,,,I JUST LOVE HIM #johnnydepp #johnny #justiceforjohnnydepp #istandwithjohnnydepp #depp #deppheard #johnnydepptiktok #johnnydeppedit #johnnydepplove #johnnydeppedits #trending #fy #fyp #deppheads #piratesofthecaribbean #potc #captainjacksparrow ,,[object Object],,,,,,,,
7094459576086531329,,,,,She’s doing the most #justiceforjohnnydepp #justicefordepp #justiceforjohnny #amberheard #amberturd #johnnydeppisinnocent #amberheardjohnnydepp #johnnydepp #johnnydepptrial #defamationtrial #deppheard,,[object Object],,,,,,,,
7102071241909079339,,,,,She’s a badass and so is Laurel. 😍 #camillevasquez #laurelcastillo #htgawm #howtogetawaywithmurder #deppheard #deppheardtrial #johnnydepp #amberheard #amberturd #johnnydepptrial,,[object Object],,,,,,,,
7097705519917501742,,,,,Johnny Depp’s poetic assemble #johnnydepp #johnny #quote #trial #court #deppheard #funny #defamation #lawsuit,,[object Object],,,,,,,,
7112984021654654210,,,,,"Please do you research before you decide to join a “trend” to hate someone. Just like many others, I also fell for the smear campaign. Reposting since the other one got taken down. #amberheard #johnnydepp #justiceforamberheard #istandwithamberheard #adamwaldman #deppheard #fyp #foryou #trending #viral",,[object Object],,,,,,,,
7100244570864192773,,,,,Disturbo Borderline di Personalità #heard #deppheard #amberheard #borderline #disorder #dbp #bdp,,[object Object],,,,,,,,
7104390894492601643,,,,,Our waitress didn’t mind lingering at our table today  #deppheard #deppheardtrial @Philly_Dee,,[object Object],,,,,,,,
7101734616767204613,,,,,"Però sei stata diretta, dolce, gentile, ci servivi Katy 💙 #johnnydepp #johnny #katemoss #amberheard #deppheard #process #perte",,[object Object],,,,,,,,
7112300688570322222,,,,,Justice is truth in action #justiceforjohnnydepp #deppheard #deppheardtrial #camillevasquez #truthandjustice #johnnydeppisinnocent #justiceforjohnny #fightthedarkness,,[object Object],,,,,,,,
7090752539968425262,,,,,"Reply to @desertflower96  Justice for Johnny Depp!!! Anyone who’s siding with Amber Heard, please unfollow me ✋Turning Characters into Eyeshadow Palettes: Part 22. Jack Sparrow!! 🏴‍☠️☠️🌊💰 #fyp #foryoupage #fypシ #foryou #jacksparrow #piratesofthecaribbean #pirates #johnnydepp #amberheard #deppheard #johnnydeppisinnocent #johnnydepptrial #disney #procreate #art #makeup #eyeshadowpalette #eyeshadowpalettechallenge #PringlesCanHands #onlyinmycalvins #Totinos425",,[object Object],,,,,,,,
7102148579128626474,,,,,#stitch with @nbcnews  why did they have her testify again? #attorneylife #legalanalysis #johnnydepp #deppheard #johnnydepptrial #depp #testilying,,[object Object],,,,,,,,
7104672416500174126,,,,,"Johnny Depp and Amber Heard each react to the verdict, after a jury awarded Depp more than $10 million in his defamation trial against his ex-wife. #news #trial #johnnydepp #amberheard #deppheard #depp",,[object Object],,,,,,,,
7093951420390558982,,,,,"I’ll get to it soon, leave me alone! #mumsoftiktok #momlife #deppheard #johnnydepp #amberheard ib: @Wimberley",,[object Object],,,,,,,,
7094141930103196970,,,,,#greenscreen #johnnydepp #amberheard #camillevasquez #reputationmanagement #deppheard #psychology,,[object Object],,,,,,,,
7268335835546750241,,,,,HE IS PERFECT! #johnnydepp #johnny #justiceforjohnnydepp #istandwithjohnnydepp #depp #deppheard #johnnydepptiktok #johnnydeppedit #johnnydepplove #johnnydeppedits #trending #fy #fyp #deppheads ,,[object Object],,,,,,,,
7099034915013971206,,,,,The court in the #DeppvHeard trial has been shown diary entries by #AmberHeard .. #johnnydepp #deppheard #deppheardtrial,,[object Object],,,,,,,,
